timestamp,roll,pitch,yaw
1511883646393884,0.055861,-0.198386,-0.992675
1511883646410431,0.0469726,-0.202968,-1.05688
1511883646432488,0.0364304,-0.208639,-1.11048
1511883646453545,0.0247837,-0.213982,-1.15241
1511883646469588,0.00383589,-0.219923,-1.18081
1511883646492652,-0.0123647,-0.223091,-1.19885
1511883646516717,-0.0238754,-0.22324,-1.20899
1511883646529751,-0.0301883,-0.220387,-1.21323
1511883646552813,-0.0317614,-0.21578,-1.21294
1511883646573869,-0.0300205,-0.210552,-1.20968
1511883646589913,-0.0274285,-0.205927,-1.20442
1511883646619541,-0.0253589,-0.202824,-1.1967
1511883646649636,-0.0239464,-0.202636,-1.18613
1511883646673685,-0.0219539,-0.204743,-1.17376
1511883646674686,-0.0191101,-0.207402,-1.16047
1511883646693742,-0.018239,-0.209172,-1.14717
1511883646709787,-0.0194549,-0.209988,-1.13429
1511883646732848,-0.022662,-0.208546,-1.12125
1511883646762926,-0.0241099,-0.204983,-1.10817
1511883646792508,-0.0232242,-0.200351,-1.09577
1511883646799556,-0.0227062,-0.194387,-1.08289
1511883646813070,-0.0238782,-0.186569,-1.069
1511883646830115,-0.0284802,-0.176487,-1.05398
1511883646852174,-0.0370936,-0.16442,-1.03765
1511883646876238,-0.046152,-0.151235,-1.01982
1511883646890395,-0.0527765,-0.137548,-0.999922
1511883646912642,-0.0561548,-0.12316,-0.975993
1511883646933698,-0.0597453,-0.108211,-0.947895
1511883646949741,-0.0628318,-0.0930101,-0.917322
1511883646986964,-0.0641606,-0.0751505,-0.88515
1511883647011668,-0.062086,-0.0532412,-0.85159
1511883647012667,-0.0572742,-0.03091,-0.816814
1511883647039854,-0.0503457,-0.00564449,-0.779862
1511883647054054,-0.042202,0.0226267,-0.741786
1511883647077085,-0.0337569,0.0540805,-0.703109
1511883647092194,-0.026384,0.0877924,-0.663563
1511883647114129,-0.0189461,0.122883,-0.623307
1511883647145210,-0.00799616,0.159498,-0.582179
1511883647168297,0.0103643,0.196963,-0.539888
1511883647197853,0.03555,0.235277,-0.498002
1511883647198354,0.065562,0.272852,-0.456376
1511883647220414,0.0986478,0.30894,-0.415309
1511883647235467,0.134455,0.343086,-0.375403
1511883647256538,0.1731,0.374536,-0.335307
1511883647271573,0.212956,0.401838,-0.296048
1511883647294162,0.254438,0.424084,-0.259849
1511883647316723,0.299779,0.440161,-0.227252
1511883647331789,0.347291,0.449702,-0.196481
1511883647353848,0.390814,0.451751,-0.168375
1511883647376912,0.42792,0.447358,-0.14238
1511883647391949,0.457501,0.438269,-0.118969
1511883647414606,0.480352,0.426194,-0.0978879
1511883647436691,0.501658,0.412019,-0.0773838
1511883647451732,0.527529,0.397811,-0.0573378
1511883647473791,0.556302,0.384957,-0.0394114
1511883647496850,0.582359,0.37399,-0.0239633
1511883647511919,0.607902,0.363588,-0.00800062
1511883647533952,0.636258,0.356217,0.00833777
1511883647557040,0.667702,0.353877,0.0237277
1511883647572076,0.700444,0.356368,0.0383041
1511883647594615,0.732964,0.363895,0.0506476
1511883647625251,0.765224,0.376384,0.0598552
1511883647631266,0.798781,0.395411,0.0656176
1511883647654324,0.833327,0.419125,0.0691377
1511883647676387,0.862955,0.445821,0.0706696
1511883647691423,0.884325,0.476733,0.068299
1511883647714087,0.896532,0.515313,0.0601468
1511883647736146,0.903965,0.555308,0.0477803
1511883647751186,0.906886,0.595665,0.0302082
1511883647774247,0.904655,0.635935,0.00677922
1511883647796837,0.896912,0.675761,-0.021947
1511883647811398,0.88212,0.713456,-0.0560505
1511883647834465,0.857541,0.746787,-0.096545
1511883647856494,0.823889,0.774008,-0.141952
1511883647871559,0.783889,0.795465,-0.191208
1511883647902169,0.739749,0.808959,-0.243417
1511883647916842,0.68979,0.816709,-0.299089
